Save 0 - Episode 135/400, Score: 21.0 (0.01), AVG Score: -9.11
Save 1 - Episode 148/400, Score: 21.0 (0.01), AVG Score: -4.66
Save 2 - Episode 150/400, Score: 21.0 (0.01), AVG Score: -3.91
Save 3 - Episode 156/400, Score: 21.0 (0.01), AVG Score: -2.0
Save 4 - Episode 177/400, Score: 21.0 (0.01), AVG Score: 5.03
Save 5 - Episode 178/400, Score: 21.0 (0.01), AVG Score: 5.43
Save 6 - Episode 181/400, Score: 21.0 (0.01), AVG Score: 6.55
Save 7 - Episode 192/400, Score: 21.0 (0.01), AVG Score: 10.09
Save 8 - Episode 200/400, Score: 21.0 (0.01), AVG Score: 12.42
Save 9 - Episode 206/400, Score: 21.0 (0.01), AVG Score: 13.23
Save 10 - Episode 213/400, Score: 21.0 (0.01), AVG Score: 13.98
Save 11 - Episode 220/400, Score: 21.0 (0.01), AVG Score: 14.73
Save 12 - Episode 224/400, Score: 21.0 (0.01), AVG Score: 15.07
Save 13 - Episode 225/400, Score: 21.0 (0.01), AVG Score: 15.25
Save 14 - Episode 232/400, Score: 21.0 (0.01), AVG Score: 15.96
Save 15 - Episode 242/400, Score: 21.0 (0.01), AVG Score: 16.42
Save 16 - Episode 246/400, Score: 21.0 (0.01), AVG Score: 16.59
Save 17 - Episode 250/400, Score: 21.0 (0.01), AVG Score: 16.66
Save 18 - Episode 251/400, Score: 21.0 (0.01), AVG Score: 16.76
Save 19 - Episode 253/400, Score: 21.0 (0.01), AVG Score: 16.78
Save 20 - Episode 257/400, Score: 21.0 (0.01), AVG Score: 17.08
Save 21 - Episode 258/400, Score: 21.0 (0.01), AVG Score: 17.16
Save 22 - Episode 262/400, Score: 21.0 (0.01), AVG Score: 17.2
Save 23 - Episode 263/400, Score: 21.0 (0.01), AVG Score: 17.24
Save 24 - Episode 264/400, Score: 21.0 (0.01), AVG Score: 17.39
Save 25 - Episode 265/400, Score: 21.0 (0.01), AVG Score: 17.4
Save 26 - Episode 266/400, Score: 21.0 (0.01), AVG Score: 17.44
Save 27 - Episode 267/400, Score: 21.0 (0.01), AVG Score: 17.48
Save 28 - Episode 268/400, Score: 21.0 (0.01), AVG Score: 17.52
Save 29 - Episode 270/400, Score: 21.0 (0.01), AVG Score: 17.63
Save 30 - Episode 271/400, Score: 21.0 (0.01), AVG Score: 17.65
Save 31 - Episode 273/400, Score: 21.0 (0.01), AVG Score: 17.82
Save 32 - Episode 279/400, Score: 21.0 (0.01), AVG Score: 17.82
Save 33 - Episode 287/400, Score: 21.0 (0.01), AVG Score: 17.79
Save 34 - Episode 289/400, Score: 21.0 (0.01), AVG Score: 17.88
Save 35 - Episode 290/400, Score: 21.0 (0.01), AVG Score: 17.92
Save 36 - Episode 298/400, Score: 21.0 (0.01), AVG Score: 17.82
Save 37 - Episode 299/400, Score: 21.0 (0.01), AVG Score: 17.86
Save 38 - Episode 300/400, Score: 21.0 (0.01), AVG Score: 17.86
Save 39 - Episode 303/400, Score: 21.0 (0.01), AVG Score: 18.06
Save 40 - Episode 304/400, Score: 21.0 (0.01), AVG Score: 18.12
Save 41 - Episode 305/400, Score: 21.0 (0.01), AVG Score: 18.23
Save 42 - Episode 306/400, Score: 21.0 (0.01), AVG Score: 18.23
Save 43 - Episode 308/400, Score: 21.0 (0.01), AVG Score: 18.3
Save 44 - Episode 310/400, Score: 21.0 (0.01), AVG Score: 18.26
Save 45 - Episode 311/400, Score: 21.0 (0.01), AVG Score: 18.29
Save 46 - Episode 312/400, Score: 21.0 (0.01), AVG Score: 18.34
Save 47 - Episode 315/400, Score: 21.0 (0.01), AVG Score: 18.43
Save 48 - Episode 317/400, Score: 21.0 (0.01), AVG Score: 18.42
Save 49 - Episode 321/400, Score: 21.0 (0.01), AVG Score: 18.39
Save 50 - Episode 322/400, Score: 21.0 (0.01), AVG Score: 18.4
Save 51 - Episode 326/400, Score: 21.0 (0.01), AVG Score: 18.48
Save 52 - Episode 355/400, Score: 21.0 (0.01), AVG Score: 18.56
Save 53 - Episode 356/400, Score: 21.0 (0.01), AVG Score: 18.59
Save 54 - Episode 364/400, Score: 21.0 (0.01), AVG Score: 18.35
Save 55 - Episode 377/400, Score: 21.0 (0.01), AVG Score: 18.12
Save 56 - Episode 386/400, Score: 21.0 (0.01), AVG Score: 18.04
Save 57 - Episode 387/400, Score: 21.0 (0.01), AVG Score: 18.04
Save 58 - Episode 393/400, Score: 21.0 (0.01), AVG Score: 17.92
Save 59 - Episode 398/400, Score: 21.0 (0.01), AVG Score: 18.03
Save 60 - Episode 399/400, Score: 21.0 (0.01), AVG Score: 18.03
