Save 0 - Episode 79/400, Score: 21.0 (0.01), AVG Score: -12.5625
Save 1 - Episode 92/400, Score: 21.0 (0.01), AVG Score: -8.698924731182796
Save 2 - Episode 115/400, Score: 21.0 (0.01), AVG Score: -1.23
Save 3 - Episode 138/400, Score: 21.0 (0.01), AVG Score: 7.14
Save 4 - Episode 146/400, Score: 21.0 (0.01), AVG Score: 9.9
Save 5 - Episode 184/400, Score: 21.0 (0.01), AVG Score: 15.6
Save 6 - Episode 188/400, Score: 21.0 (0.01), AVG Score: 15.79
Save 7 - Episode 204/400, Score: 21.0 (0.01), AVG Score: 16.19
Save 8 - Episode 213/400, Score: 21.0 (0.01), AVG Score: 16.47
Save 9 - Episode 216/400, Score: 21.0 (0.01), AVG Score: 16.5
Save 10 - Episode 220/400, Score: 21.0 (0.01), AVG Score: 16.61
Save 11 - Episode 221/400, Score: 21.0 (0.01), AVG Score: 16.65
Save 12 - Episode 222/400, Score: 21.0 (0.01), AVG Score: 16.75
Save 13 - Episode 226/400, Score: 21.0 (0.01), AVG Score: 17.02
Save 14 - Episode 227/400, Score: 21.0 (0.01), AVG Score: 17.06
Save 15 - Episode 233/400, Score: 21.0 (0.01), AVG Score: 17.16
Save 16 - Episode 234/400, Score: 21.0 (0.01), AVG Score: 17.22
Save 17 - Episode 236/400, Score: 21.0 (0.01), AVG Score: 17.29
Save 18 - Episode 249/400, Score: 21.0 (0.01), AVG Score: 17.58
Save 19 - Episode 255/400, Score: 21.0 (0.01), AVG Score: 17.83
Save 20 - Episode 256/400, Score: 21.0 (0.01), AVG Score: 17.86
Save 21 - Episode 259/400, Score: 21.0 (0.01), AVG Score: 18.04
Save 22 - Episode 260/400, Score: 21.0 (0.01), AVG Score: 18.1
Save 23 - Episode 261/400, Score: 21.0 (0.01), AVG Score: 18.15
Save 24 - Episode 262/400, Score: 21.0 (0.01), AVG Score: 18.32
Save 25 - Episode 265/400, Score: 21.0 (0.01), AVG Score: 18.56
Save 26 - Episode 269/400, Score: 21.0 (0.01), AVG Score: 18.76
Save 27 - Episode 276/400, Score: 21.0 (0.01), AVG Score: 18.86
Save 28 - Episode 278/400, Score: 21.0 (0.01), AVG Score: 18.9
Save 29 - Episode 286/400, Score: 21.0 (0.01), AVG Score: 18.85
Save 30 - Episode 296/400, Score: 21.0 (0.01), AVG Score: 18.89
Save 31 - Episode 297/400, Score: 21.0 (0.01), AVG Score: 18.9
Save 32 - Episode 298/400, Score: 21.0 (0.01), AVG Score: 18.91
Save 33 - Episode 306/400, Score: 21.0 (0.01), AVG Score: 18.97
Save 34 - Episode 307/400, Score: 21.0 (0.01), AVG Score: 18.99
Save 35 - Episode 309/400, Score: 21.0 (0.01), AVG Score: 18.99
Save 36 - Episode 310/400, Score: 21.0 (0.01), AVG Score: 19.03
Save 37 - Episode 311/400, Score: 21.0 (0.01), AVG Score: 19.06
Save 38 - Episode 315/400, Score: 21.0 (0.01), AVG Score: 19.08
Save 39 - Episode 318/400, Score: 21.0 (0.01), AVG Score: 19.11
Save 40 - Episode 320/400, Score: 21.0 (0.01), AVG Score: 19.13
Save 41 - Episode 322/400, Score: 21.0 (0.01), AVG Score: 19.12
Save 42 - Episode 323/400, Score: 21.0 (0.01), AVG Score: 19.13
Save 43 - Episode 326/400, Score: 21.0 (0.01), AVG Score: 19.07
Save 44 - Episode 327/400, Score: 21.0 (0.01), AVG Score: 19.07
Save 45 - Episode 328/400, Score: 21.0 (0.01), AVG Score: 19.12
Save 46 - Episode 329/400, Score: 21.0 (0.01), AVG Score: 19.18
Save 47 - Episode 334/400, Score: 21.0 (0.01), AVG Score: 19.15
Save 48 - Episode 337/400, Score: 21.0 (0.01), AVG Score: 19.2
Save 49 - Episode 339/400, Score: 21.0 (0.01), AVG Score: 19.21
Save 50 - Episode 340/400, Score: 21.0 (0.01), AVG Score: 19.23
Save 51 - Episode 342/400, Score: 21.0 (0.01), AVG Score: 19.27
Save 52 - Episode 343/400, Score: 21.0 (0.01), AVG Score: 19.3
Save 53 - Episode 344/400, Score: 21.0 (0.01), AVG Score: 19.34
Save 54 - Episode 345/400, Score: 21.0 (0.01), AVG Score: 19.35
Save 55 - Episode 347/400, Score: 21.0 (0.01), AVG Score: 19.4
Save 56 - Episode 348/400, Score: 21.0 (0.01), AVG Score: 19.45
Save 57 - Episode 353/400, Score: 21.0 (0.01), AVG Score: 19.47
Save 58 - Episode 354/400, Score: 21.0 (0.01), AVG Score: 19.48
Save 59 - Episode 356/400, Score: 21.0 (0.01), AVG Score: 19.42
Save 60 - Episode 358/400, Score: 21.0 (0.01), AVG Score: 19.44
Save 61 - Episode 360/400, Score: 21.0 (0.01), AVG Score: 19.43
Save 62 - Episode 361/400, Score: 21.0 (0.01), AVG Score: 19.43
Save 63 - Episode 369/400, Score: 21.0 (0.01), AVG Score: 19.33
Save 64 - Episode 374/400, Score: 21.0 (0.01), AVG Score: 19.35
Save 65 - Episode 375/400, Score: 21.0 (0.01), AVG Score: 19.36
Save 66 - Episode 376/400, Score: 21.0 (0.01), AVG Score: 19.36
Save 67 - Episode 382/400, Score: 21.0 (0.01), AVG Score: 19.45
Save 68 - Episode 387/400, Score: 21.0 (0.01), AVG Score: 19.43
Save 69 - Episode 391/400, Score: 21.0 (0.01), AVG Score: 19.51
Save 70 - Episode 392/400, Score: 21.0 (0.01), AVG Score: 19.53
Save 71 - Episode 396/400, Score: 21.0 (0.01), AVG Score: 19.51
Save 72 - Episode 397/400, Score: 21.0 (0.01), AVG Score: 19.51
Save 73 - Episode 398/400, Score: 21.0 (0.01), AVG Score: 19.51
