Save 0 - Episode 154/300, Score: 21.0 (0.01), AVG Score: -8.57
Save 1 - Episode 161/300, Score: 21.0 (0.01), AVG Score: -6.12
Save 2 - Episode 177/300, Score: 21.0 (0.01), AVG Score: -0.99
Save 3 - Episode 178/300, Score: 21.0 (0.01), AVG Score: -0.63
Save 4 - Episode 185/300, Score: 21.0 (0.01), AVG Score: 1.62
Save 5 - Episode 198/300, Score: 21.0 (0.01), AVG Score: 5.3
Save 6 - Episode 207/300, Score: 21.0 (0.01), AVG Score: 7.69
Save 7 - Episode 210/300, Score: 21.0 (0.01), AVG Score: 8.52
Save 8 - Episode 214/300, Score: 21.0 (0.01), AVG Score: 9.72
Save 9 - Episode 218/300, Score: 21.0 (0.01), AVG Score: 10.9
Save 10 - Episode 220/300, Score: 21.0 (0.01), AVG Score: 11.36
Save 11 - Episode 222/300, Score: 21.0 (0.01), AVG Score: 12.04
Save 12 - Episode 231/300, Score: 21.0 (0.01), AVG Score: 14.42
Save 13 - Episode 240/300, Score: 21.0 (0.01), AVG Score: 16.01
Save 14 - Episode 241/300, Score: 21.0 (0.01), AVG Score: 16.25
Save 15 - Episode 244/300, Score: 21.0 (0.01), AVG Score: 16.69
Save 16 - Episode 248/300, Score: 21.0 (0.01), AVG Score: 17.23
Save 17 - Episode 251/300, Score: 21.0 (0.01), AVG Score: 17.24
Save 18 - Episode 253/300, Score: 21.0 (0.01), AVG Score: 17.28
Save 19 - Episode 254/300, Score: 21.0 (0.01), AVG Score: 17.28
Save 20 - Episode 256/300, Score: 21.0 (0.01), AVG Score: 17.25
Save 21 - Episode 257/300, Score: 21.0 (0.01), AVG Score: 17.37
Save 22 - Episode 260/300, Score: 21.0 (0.01), AVG Score: 17.39
Save 23 - Episode 262/300, Score: 21.0 (0.01), AVG Score: 17.33
Save 24 - Episode 269/300, Score: 21.0 (0.01), AVG Score: 17.76
Save 25 - Episode 270/300, Score: 21.0 (0.01), AVG Score: 17.79
Save 26 - Episode 271/300, Score: 21.0 (0.01), AVG Score: 17.81
Save 27 - Episode 273/300, Score: 21.0 (0.01), AVG Score: 17.88
Save 28 - Episode 274/300, Score: 21.0 (0.01), AVG Score: 17.9
Save 29 - Episode 281/300, Score: 21.0 (0.01), AVG Score: 18.14
Save 30 - Episode 286/300, Score: 21.0 (0.01), AVG Score: 17.97
Save 31 - Episode 288/300, Score: 21.0 (0.01), AVG Score: 18.07
Save 32 - Episode 289/300, Score: 21.0 (0.01), AVG Score: 18.12
Save 33 - Episode 291/300, Score: 21.0 (0.01), AVG Score: 18.24
Save 34 - Episode 292/300, Score: 21.0 (0.01), AVG Score: 18.25
Save 35 - Episode 295/300, Score: 21.0 (0.01), AVG Score: 18.27
Save 36 - Episode 296/300, Score: 21.0 (0.01), AVG Score: 18.34
Save 37 - Episode 297/300, Score: 21.0 (0.01), AVG Score: 18.37
